"About the data: Analytical views - Publisher - Exported on Oct 25, 2022. Criteria: My groups is US YES federal funders; Publication Year is 2017 or 2018 or 2019 or 2020 or 2021; Country of Funder is United States; Research Organization is Iowa State University; Publication Type is not Preprint. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,
Name,Rank FF,FF Publications,Rank All,All Publications,Rank %,Percentage,All OA,Bronze,Closed,Gold,Green,Hybrid,Sum,Delta,% OSTP Bronze,% OSTP Closed,% OSTP Gold,% OSTP Green,% OSTP Hybrid
Elsevier,1,1735,1,3811,86,45.52610863,1213,540,522,155,417,101,1735,0,31.12391931,30.08645533,8.933717579,24.03458213,5.821325648
Springer Nature,2,1341,2,2610,70,51.37931034,971,19,370,661,232,59,1341,0,1.416853095,27.59134974,49.29157345,17.300522,4.399701715
Wiley,3,921,3,2144,90,42.95708955,668,166,253,123,260,119,921,0,18.02388708,27.47014115,13.35504886,28.23018458,12.92073833
Institute of Electrical and Electronics Engineers (IEEE),4,727,4,1319,66,55.11751327,324,3,403,9,190,122,727,0,0.412654746,55.43328748,1.237964237,26.13480055,16.78129298
American Physical Society (APS),5,645,8,675,36,95.55555556,635,0,10,13,127,495,645,0,0,1.550387597,2.015503876,19.68992248,76.74418605
American Chemical Society (ACS),6,555,7,719,48,77.19054242,341,9,214,17,282,33,555,0,1.621621622,38.55855856,3.063063063,50.81081081,5.945945946
Oxford University Press (OUP),7,343,5,1180,105,29.06779661,317,89,26,93,57,78,343,0,25.94752187,7.580174927,27.11370262,16.6180758,22.74052478
MDPI,8,245,10,557,88,43.98563734,245,0,0,244,1,0,245,0,0,0,99.59183673,0.408163265,0
Frontiers,9,214,11,447,84,47.87472036,214,0,0,214,0,0,214,0,0,0,100,0,0
Taylor & Francis,10,207,6,886,114,23.36343115,109,9,98,20,73,7,207,0,4.347826087,47.34299517,9.661835749,35.26570048,3.381642512
Royal Society of Chemistry (RSC),11,205,12,279,51,73.47670251,152,0,53,21,72,59,205,0,0,25.85365854,10.24390244,35.12195122,28.7804878
AIP Publishing,12,126,15,209,60,60.28708134,102,5,24,28,68,1,126,0,3.968253968,19.04761905,22.22222222,53.96825397,0.793650794
Public Library of Science (PLoS),13,120,14,227,69,52.86343612,120,0,0,120,0,0,120,0,0,0,100,0,0
IOP Publishing,14,119,18,171,55,69.59064327,102,0,17,20,57,25,119,0,0,14.28571429,16.80672269,47.89915966,21.00840336
SAGE Publications,15,116,9,611,119,18.98527005,65,26,51,6,31,2,116,0,22.4137931,43.96551724,5.172413793,26.72413793,1.724137931
Association for Computing Machinery (ACM),16,100,16,186,68,53.76344086,67,62,33,0,5,0,100,0,62,33,0,5,0
American Society for Microbiology,17,96,22,136,54,70.58823529,95,5,1,48,35,7,96,0,5.208333333,1.041666667,50,36.45833333,7.291666667
American Astronomical Society,18,75,27,83,38,90.36144578,75,22,0,1,46,6,75,0,29.33333333,0,1.333333333,61.33333333,8
American Society of Civil Engineers (ASCE),19,70,13,231,102,30.3030303,15,0,55,0,14,1,70,0,0,78.57142857,0,20,1.428571429
American Geophysical Union (AGU),20,49,30,60,42,81.66666667,34,14,15,4,11,5,49,0,28.57142857,30.6122449,8.163265306,22.44897959,10.20408163
Proceedings of the National Academy of Sciences,20,49,32,56,39,87.5,49,22,0,0,12,15,49,0,44.89795918,0,0,24.48979592,30.6122449
Cambridge University Press (CUP),22,44,17,179,112,24.58100559,37,2,7,6,15,14,44,0,4.545454545,15.90909091,13.63636364,34.09090909,31.81818182
American Association for the Advancement of Science (AAAS),23,35,33,49,52,71.42857143,31,0,4,19,12,0,35,0,0,11.42857143,54.28571429,34.28571429,0
Scientific Societies,24,33,20,141,113,23.40425532,29,0,4,5,1,23,33,0,0,12.12121212,15.15151515,3.03030303,69.6969697
ASME International,25,32,23,129,111,24.80620155,9,7,23,0,2,0,32,0,21.875,71.875,0,6.25,0
American Meteorological Society,26,30,38,38,46,78.94736842,29,13,1,2,5,9,30,0,43.33333333,3.333333333,6.666666667,16.66666667,30
American Psychological Association (APA),26,30,20,141,116,21.27659574,30,26,0,0,4,0,30,0,86.66666667,0,0,13.33333333,0
The Royal Society,28,24,41,31,47,77.41935484,23,12,1,5,1,5,24,0,50,4.166666667,20.83333333,4.166666667,20.83333333
American Institute of Aeronautics and Astronautics (AIAA),29,20,19,166,130,12.04819277,10,0,10,0,4,6,20,0,0,50,0,20,30
Copernicus Publications,30,15,44,25,61,60,15,0,0,15,0,0,15,0,0,0,100,0,0
Mary Ann Liebert,30,15,36,44,96,34.09090909,12,3,3,0,7,2,15,0,20,20,0,46.66666667,13.33333333
Wolters Kluwer,30,15,26,86,122,17.44186047,14,2,1,2,9,1,15,0,13.33333333,6.666666667,13.33333333,60,6.666666667
Hindawi,33,14,37,43,101,32.55813953,13,1,1,12,0,0,14,0,7.142857143,7.142857143,85.71428571,0,0
American Dairy Science Association,34,12,31,58,117,20.68965517,11,11,1,0,0,0,12,0,91.66666667,8.333333333,0,0,0
PeerJ,34,12,47,16,49,75,12,0,0,12,0,0,12,0,0,0,100,0,0
The Company of Biologists,36,11,56,12,37,91.66666667,11,1,0,2,1,7,11,0,9.090909091,0,18.18181818,9.090909091,63.63636364
American Society for Engineering Education,37,10,25,94,132,10.63829787,9,6,1,0,3,0,10,0,60,10,0,30,0
Canadian Science Publishing,38,9,39,34,108,26.47058824,6,0,3,1,5,0,9,0,0,33.33333333,11.11111111,55.55555556,0
EDP Sciences,38,9,43,30,103,30,8,5,1,1,0,2,9,0,55.55555556,11.11111111,11.11111111,0,22.22222222
Microbiology Society,38,9,45,20,87,45,9,6,0,1,2,0,9,0,66.66666667,0,11.11111111,22.22222222,0
eLife,38,9,58,11,41,81.81818182,9,0,0,9,0,0,9,0,0,0,100,0,0
De Gruyter,42,8,34,46,123,17.39130435,7,1,1,4,2,0,8,0,12.5,12.5,50,25,0
Emerald,42,8,24,117,136,6.837606838,2,0,6,0,2,0,8,0,0,75,0,25,0
MyJove Corporation,42,8,56,12,56,66.66666667,8,3,0,0,5,0,8,0,37.5,0,0,62.5,0
"SPIE, the international society for optics and photonics",42,8,29,69,131,11.5942029,4,0,4,0,1,3,8,0,0,50,0,12.5,37.5
The Electrochemical Society,42,8,28,76,133,10.52631579,1,0,7,1,0,0,8,0,0,87.5,12.5,0,0
World Scientific Publishing,42,8,34,46,123,17.39130435,6,0,2,0,6,0,8,0,0,25,0,75,0
Annual Reviews,48,7,41,31,115,22.58064516,4,0,3,1,3,0,7,0,0,42.85714286,14.28571429,42.85714286,0
Institute of Mathematical Statistics,48,7,53,13,67,53.84615385,5,1,2,1,2,1,7,0,14.28571429,28.57142857,14.28571429,28.57142857,14.28571429
Institution of Engineering and Technology (IET),48,7,47,16,89,43.75,6,1,1,4,1,0,7,0,14.28571429,14.28571429,57.14285714,14.28571429,0
American Mathematical Society (AMS),51,6,67,7,40,85.71428571,6,0,0,0,1,5,6,0,0,0,0,16.66666667,83.33333333
American Physiological Society,51,6,53,13,85,46.15384615,5,3,1,0,1,1,6,0,50,16.66666667,0,16.66666667,16.66666667
American Vacuum Society,51,6,74,6,1,100,5,0,1,1,2,2,6,0,0,16.66666667,16.66666667,33.33333333,33.33333333
American Medical Association (AMA),54,5,67,7,52,71.42857143,5,3,0,1,1,0,5,0,60,0,20,20,0
American Society of Agricultural and Biological Engineers (ASABE),54,5,39,34,125,14.70588235,4,2,1,0,2,0,5,0,40,20,0,40,0
American Society of Plant Taxonomists,54,5,62,9,64,55.55555556,1,0,4,0,1,0,5,0,0,80,0,20,0
IOS Press,54,5,53,13,94,38.46153846,4,0,1,0,4,0,5,0,0,20,0,80,0
International Press of Boston,54,5,46,17,104,29.41176471,4,0,1,0,4,0,5,0,0,20,0,80,0
Portland Press,54,5,62,9,64,55.55555556,5,0,0,0,5,0,5,0,0,0,0,100,0
Rockefeller University Press,54,5,77,5,1,100,5,0,0,0,0,5,5,0,0,0,0,0,100
Cold Spring Harbor Laboratory,61,4,74,6,56,66.66666667,4,2,0,0,0,2,4,0,50,0,0,0,50
International Union of Crystallography (IUCr),61,4,77,5,43,80,2,0,2,0,1,1,4,0,0,50,0,25,25
Society for the Study of Amphibians and Reptiles,61,4,85,4,1,100,2,1,2,0,1,0,4,0,25,50,0,25,0
Society of Southwestern Entomologists,61,4,77,5,43,80,2,0,2,0,2,0,4,0,0,50,0,50,0
Wildlife Disease Association,61,4,77,5,43,80,0,0,4,0,0,0,4,0,0,100,0,0,0
Airiti Press,66,3,67,7,91,42.85714286,3,0,0,0,0,3,3,0,0,0,0,0,100
American Association for Cancer Research (AACR),66,3,94,3,1,100,3,1,0,0,2,0,3,0,33.33333333,0,0,66.66666667,0
American Association for Laboratory Animal Science,66,3,77,5,61,60,3,0,0,0,3,0,3,0,0,0,0,100,0
American Association of Physics Teachers (AAPT),66,3,94,3,1,100,3,1,0,0,2,0,3,0,33.33333333,0,0,66.66666667,0
American Society for Cell Biology (ASCB),66,3,77,5,61,60,3,0,0,0,0,3,3,0,0,0,0,0,100
American Society for Clinical Investigation,66,3,94,3,1,100,3,1,0,1,0,1,3,0,33.33333333,0,33.33333333,0,33.33333333
Faculty of 1000,66,3,62,9,97,33.33333333,3,0,0,3,0,0,3,0,0,0,100,0,0
Geological Society of America,66,3,65,8,95,37.5,1,0,2,1,0,0,3,0,0,66.66666667,33.33333333,0,0
Herpetologists League,66,3,85,4,49,75,2,0,1,0,2,0,3,0,0,33.33333333,0,66.66666667,0
ICE publishing,66,3,58,11,107,27.27272727,2,0,1,0,1,1,3,0,0,33.33333333,0,33.33333333,33.33333333
"Impact Journals, LLC",66,3,94,3,1,100,3,0,0,3,0,0,3,0,0,0,100,0,0
JMIR Publications,66,3,74,6,71,50,3,0,0,3,0,0,3,0,0,0,100,0,0
Karger Publishers,66,3,67,7,91,42.85714286,1,1,2,0,0,0,3,0,33.33333333,66.66666667,0,0,0
Wilson Ornithological Society,66,3,94,3,1,100,0,0,3,0,0,0,3,0,0,100,0,0,0
American Association of Avian Pathologists (AAAP),80,2,67,7,106,28.57142857,1,0,1,0,1,0,2,0,0,50,0,50,0
American Fern Society,80,2,104,2,1,100,0,0,2,0,0,0,2,0,0,100,0,0,0
BMJ,80,2,85,4,71,50,2,0,0,2,0,0,2,0,0,0,100,0,0
Begell House,80,2,58,11,120,18.18181818,1,0,1,0,1,0,2,0,0,50,0,50,0
Beilstein Institut,80,2,104,2,1,100,2,0,0,2,0,0,2,0,0,0,100,0,0
CSIRO Publishing,80,2,85,4,71,50,1,0,1,0,1,0,2,0,0,50,0,50,0
Centers for Disease Control and Prevention (CDC),80,2,77,5,93,40,2,1,0,1,0,0,2,0,50,0,50,0,0
Chelonian Conservation and Biology Journal,80,2,104,2,1,100,1,0,1,0,1,0,2,0,0,50,0,50,0
Future Science Group,80,2,85,4,71,50,0,0,2,0,0,0,2,0,0,100,0,0,0
International Association for Food Protection,80,2,58,11,120,18.18181818,1,1,1,0,0,0,2,0,50,50,0,0,0
International Joint Conferences on Artificial Intelligence,80,2,94,3,56,66.66666667,2,2,0,0,0,0,2,0,100,0,0,0,0
Kansas Academy of Science,80,2,104,2,1,100,0,0,2,0,0,0,2,0,0,100,0,0,0
Naturalis Biodiversity Center,80,2,104,2,1,100,2,0,0,0,2,0,2,0,0,0,0,100,0
Physical Society of Japan,80,2,85,4,71,50,2,0,0,0,1,1,2,0,0,0,0,50,50
Resilience Alliance,80,2,85,4,71,50,1,0,1,0,1,0,2,0,0,50,0,50,0
The American Association of Immunologists,80,2,104,2,1,100,2,1,0,1,0,0,2,0,50,0,50,0,0
Thieme,80,2,47,16,128,12.5,0,0,2,0,0,0,2,0,0,100,0,0,0
Trans Tech Publications,80,2,94,3,56,66.66666667,2,0,0,0,2,0,2,0,0,0,0,100,0
Western North American Naturalist,80,2,104,2,1,100,1,0,1,0,1,0,2,0,0,50,0,50,0
Alcohol Research Documentation,99,1,104,2,71,50,1,0,0,0,1,0,1,0,0,0,0,100,0
American Educational Research Association (AERA),99,1,67,7,126,14.28571429,1,1,0,0,0,0,1,0,100,0,0,0,0
American Innovative Medical Sciences and Technologies (AIMSCI),99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
American Registry of Professional Animal Scientists,99,1,51,14,134,7.142857143,0,0,0,0,0,0,0,-1,0,0,0,0,0
American Scientific Publishers,99,1,94,3,97,33.33333333,0,0,0,0,0,0,0,-1,0,0,0,0,0
American Society for Pharmacology & Experimental Therapeutics (ASPET),99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
American Society of Hematology,99,1,94,3,97,33.33333333,0,0,0,0,0,0,0,-1,0,0,0,0,0
Association for Research in Vision and Ophthalmology (ARVO),99,1,104,2,71,50,0,0,0,0,0,0,0,-1,0,0,0,0,0
Association of Reptilian and Amphibian Veterinarians (ARAV),99,1,104,2,71,50,0,0,0,0,0,0,0,-1,0,0,0,0,0
"Bio-Protocol, LLC",99,1,94,3,97,33.33333333,0,0,0,0,0,0,0,-1,0,0,0,0,0
"CAD Solutions, LLC",99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
Coleopterists Society,99,1,104,2,71,50,0,0,0,0,0,0,0,-1,0,0,0,0,0
Entomological Society of Washington,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
Environmental Health Perspectives,99,1,77,5,118,20,0,0,0,0,0,0,0,-1,0,0,0,0,0
European Mathematical Society - EMS - Publishing House GmbH,99,1,104,2,71,50,0,0,0,0,0,0,0,-1,0,0,0,0,0
FapUNIFESP (SciELO),99,1,51,14,134,7.142857143,0,0,0,0,0,0,0,-1,0,0,0,0,0
GN1 Genesis Network,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
Human Kinetics,99,1,47,16,137,6.25,0,0,0,0,0,0,0,-1,0,0,0,0,0
Ivyspring International Publisher,99,1,104,2,71,50,0,0,0,0,0,0,0,-1,0,0,0,0,0
Japan Institute of Metals,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
Johnson Matthey,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
"Life Science Alliance, LLC",99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
Mineralogical Society of America,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
NACE International,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
Natural Areas Journal,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
Paris Scholar Publishing,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
